               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 161,             0.03343,            0.066282,            0.016945,             0.52896,             0.41961,             0.43288,              0.2468,            0.032228,            0.097043,            0.024534,             0.00472,             0.00472,             0.00472
                 162,            0.033316,            0.065732,            0.016953,             0.52849,             0.42127,              0.4332,               0.247,            0.032224,            0.097036,            0.024531,            0.004687,            0.004687,            0.004687
                 163,            0.033584,             0.06612,            0.016813,             0.52914,             0.41966,             0.43342,             0.24727,            0.032221,            0.097043,            0.024533,            0.004654,            0.004654,            0.004654
                 164,            0.033466,            0.066075,            0.016906,             0.53364,             0.41803,             0.43356,             0.24737,            0.032219,            0.097032,            0.024533,            0.004621,            0.004621,            0.004621
                 165,            0.033524,            0.066219,            0.016883,             0.53227,             0.42007,             0.43356,             0.24732,            0.032216,            0.097029,            0.024531,            0.004588,            0.004588,            0.004588
                 166,            0.033228,            0.064772,            0.016788,             0.53107,             0.42044,             0.43353,             0.24737,            0.032213,            0.097024,            0.024531,            0.004555,            0.004555,            0.004555
                 167,            0.033326,            0.065727,            0.016804,             0.53214,              0.4198,             0.43351,             0.24745,             0.03221,             0.09702,             0.02453,            0.004522,            0.004522,            0.004522
                 168,            0.033236,            0.065141,             0.01666,             0.53109,              0.4203,             0.43376,             0.24758,            0.032207,            0.097017,             0.02453,            0.004489,            0.004489,            0.004489
                 169,            0.033314,            0.065047,            0.016604,              0.5319,             0.42032,             0.43374,             0.24758,            0.032204,            0.097019,            0.024527,            0.004456,            0.004456,            0.004456
                 170,             0.03329,            0.065706,            0.016651,             0.53414,              0.4185,             0.43399,             0.24789,            0.032201,            0.097019,            0.024529,            0.004423,            0.004423,            0.004423
                 171,            0.033255,            0.065841,            0.016525,             0.53297,             0.42017,              0.4339,             0.24771,            0.032199,            0.097019,            0.024521,             0.00439,             0.00439,             0.00439
                 172,            0.033331,            0.065638,            0.016525,             0.53223,             0.42022,             0.43416,             0.24791,            0.032197,             0.09702,             0.02452,            0.004357,            0.004357,            0.004357
                 173,            0.033216,            0.064715,            0.016574,             0.52995,             0.42182,             0.43444,              0.2481,            0.032194,            0.097009,            0.024512,            0.004324,            0.004324,            0.004324
                 174,            0.033197,            0.064961,            0.016364,             0.53044,             0.42147,             0.43457,             0.24813,            0.032192,             0.09701,            0.024514,            0.004291,            0.004291,            0.004291
                 175,            0.033316,            0.065377,            0.016479,             0.52752,             0.42291,             0.43427,             0.24815,             0.03219,             0.09701,            0.024511,            0.004258,            0.004258,            0.004258
                 176,            0.033399,            0.065847,             0.01652,             0.52665,             0.42255,             0.43392,             0.24794,            0.032188,             0.09701,            0.024504,            0.004225,            0.004225,            0.004225
                 177,            0.033128,             0.06526,            0.016343,             0.52693,             0.42243,             0.43406,             0.24803,            0.032187,             0.09701,            0.024501,            0.004192,            0.004192,            0.004192
                 178,            0.033196,             0.06588,            0.016352,              0.5278,             0.42279,             0.43409,             0.24804,            0.032185,            0.097009,            0.024501,            0.004159,            0.004159,            0.004159
                 179,            0.033082,            0.063946,            0.016363,             0.53128,             0.42213,             0.43444,             0.24833,            0.032184,            0.097019,            0.024498,            0.004126,            0.004126,            0.004126
                 180,            0.032942,            0.063734,            0.016039,             0.52984,             0.42229,             0.43438,             0.24823,            0.032183,            0.097027,            0.024497,            0.004093,            0.004093,            0.004093
                 181,            0.033107,            0.064567,            0.016053,             0.53085,             0.42219,             0.43467,             0.24831,            0.032183,            0.097032,            0.024499,             0.00406,             0.00406,             0.00406
                 182,            0.033102,             0.06454,            0.016001,             0.53025,             0.42206,              0.4349,             0.24853,            0.032182,            0.097034,            0.024497,            0.004027,            0.004027,            0.004027
                 183,             0.03301,            0.064561,            0.015938,             0.53178,              0.4211,             0.43501,             0.24856,             0.03218,            0.097041,            0.024491,            0.003994,            0.003994,            0.003994
                 184,            0.032961,            0.064647,             0.01602,             0.53369,             0.42086,             0.43486,             0.24862,            0.032178,            0.097043,             0.02449,            0.003961,            0.003961,            0.003961
                 185,            0.033032,            0.064694,             0.01599,              0.5371,             0.41947,             0.43524,             0.24865,            0.032176,            0.097039,            0.024487,            0.003928,            0.003928,            0.003928
                 186,            0.033053,            0.064185,            0.015918,             0.53997,             0.41847,             0.43514,             0.24871,            0.032175,            0.097049,            0.024484,            0.003895,            0.003895,            0.003895
                 187,             0.03298,            0.064502,            0.015886,             0.54124,             0.41772,             0.43511,             0.24877,            0.032174,            0.097058,             0.02448,            0.003862,            0.003862,            0.003862
