               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.037387,            0.074903,            0.023923,             0.42218,             0.36501,             0.35164,             0.18772,            0.034562,             0.10127,            0.026734,            0.008812,            0.008812,            0.008812
                  38,            0.037036,            0.073406,            0.023689,             0.42912,             0.36701,             0.35563,             0.18914,              0.0345,             0.10134,            0.026869,            0.008779,            0.008779,            0.008779
                  39,            0.037105,            0.074333,            0.023716,             0.42925,              0.3711,             0.35702,             0.19176,            0.034424,             0.10055,            0.026816,            0.008746,            0.008746,            0.008746
                  40,            0.036917,            0.073511,            0.023517,              0.4461,             0.36138,             0.36023,             0.19376,            0.034342,             0.10055,            0.026377,            0.008713,            0.008713,            0.008713
                  41,            0.036963,            0.073309,            0.023215,             0.43873,             0.36998,             0.36053,             0.19286,            0.034334,             0.10064,            0.026768,             0.00868,             0.00868,             0.00868
                  42,            0.036875,            0.073962,            0.023331,             0.43727,             0.37778,             0.36494,             0.19653,            0.034238,             0.10047,            0.026326,            0.008647,            0.008647,            0.008647
                  43,            0.036791,            0.074056,            0.023064,             0.44092,             0.37849,             0.36539,             0.19622,            0.034244,             0.10034,            0.026322,            0.008614,            0.008614,            0.008614
                  44,            0.036827,            0.073744,            0.023061,             0.44963,             0.37525,              0.3673,             0.19734,            0.034214,             0.10044,            0.026243,            0.008581,            0.008581,            0.008581
                  45,            0.036645,            0.072753,            0.022985,             0.44855,             0.37812,             0.36816,             0.19692,            0.034112,             0.10028,            0.026231,            0.008548,            0.008548,            0.008548
                  46,            0.036618,            0.072937,            0.022756,             0.45829,             0.37861,             0.36823,             0.19789,            0.034088,             0.10011,            0.026583,            0.008515,            0.008515,            0.008515
                  47,            0.036696,            0.073283,            0.022787,             0.45561,             0.37369,             0.36854,              0.1991,            0.034035,             0.10008,            0.026261,            0.008482,            0.008482,            0.008482
                  48,            0.036684,            0.073681,            0.022727,             0.45055,              0.3811,              0.3726,              0.2018,            0.033945,            0.099699,            0.026026,            0.008449,            0.008449,            0.008449
                  49,            0.036372,            0.073062,            0.022371,             0.45869,             0.37842,             0.37459,             0.20331,            0.033987,            0.099859,            0.026049,            0.008416,            0.008416,            0.008416
                  50,            0.036415,            0.073655,            0.022444,             0.45379,             0.38929,              0.3816,             0.20626,            0.033881,            0.099672,            0.025895,            0.008383,            0.008383,            0.008383
                  51,            0.036289,            0.071499,            0.022382,             0.46868,             0.38486,             0.37972,             0.20615,            0.033814,            0.099555,            0.025834,             0.00835,             0.00835,             0.00835
                  52,            0.036343,            0.072474,            0.022241,             0.45827,             0.38931,              0.3818,               0.207,            0.033815,            0.099525,            0.025989,            0.008317,            0.008317,            0.008317
                  53,            0.036181,              0.0715,            0.022138,             0.45253,             0.39039,             0.38256,             0.20827,             0.03377,            0.099516,            0.025854,            0.008284,            0.008284,            0.008284
                  54,            0.036293,            0.072282,            0.022038,             0.47481,             0.38561,             0.38282,             0.20886,            0.033715,            0.099345,            0.025971,            0.008251,            0.008251,            0.008251
                  55,            0.036227,            0.072657,            0.021994,             0.46408,             0.39092,             0.38434,              0.2096,            0.033675,            0.099219,             0.02579,            0.008218,            0.008218,            0.008218
                  56,            0.036067,            0.072171,             0.02187,             0.47991,              0.3808,             0.38352,             0.20982,            0.033636,            0.099221,            0.025748,            0.008185,            0.008185,            0.008185
                  57,             0.03602,            0.071284,            0.021898,             0.47671,             0.38221,             0.38632,             0.21058,            0.033644,            0.099187,            0.025663,            0.008152,            0.008152,            0.008152
                  58,            0.035946,            0.072211,             0.02152,             0.46664,             0.38909,             0.38565,              0.2104,            0.033571,            0.098909,             0.02565,            0.008119,            0.008119,            0.008119
                  59,            0.035907,             0.07158,            0.021571,             0.47414,             0.38789,              0.3846,             0.21044,            0.033548,            0.099143,            0.025697,            0.008086,            0.008086,            0.008086
                  60,            0.035959,            0.071864,              0.0217,             0.48282,             0.38934,             0.39249,               0.214,            0.033508,            0.098736,            0.025443,            0.008053,            0.008053,            0.008053
